epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8132,0.71975,1.92507,1.21379,0,0,0,0,0,0,0,0.00020633,0.00020633,0.00020633
2,22.9776,0.33532,0.89863,0.95853,0,0,0,0,0,0,0,0.00040919,0.00040919,0.00040919
3,31.7266,0.31896,0.81967,0.95243,0,0,0,0,0,0,0,0.00060655,0.00060655,0.00060655
4,40.3066,0.29347,0.75084,0.93436,0,0,0,0,0,0,0,0.00060025,0.00060025,0.00060025
5,48.8786,0.27083,0.66774,0.92379,0,0,0,0,0,0,0,0.000592,0.000592,0.000592
6,57.6236,0.24871,0.6321,0.9236,0,0,0,0,0,0,0,0.00058375,0.00058375,0.00058375
7,66.2245,0.23848,0.58097,0.91573,0,0,0,0,0,0,0,0.0005755,0.0005755,0.0005755
8,74.7966,0.21696,0.53732,0.90753,0,0,0,0,0,0,0,0.00056725,0.00056725,0.00056725
9,83.7377,0.20235,0.51186,0.90555,0,0,0,0,0,0,0,0.000559,0.000559,0.000559
10,92.5617,0.20841,0.49921,0.91002,0,0,0,0,0,0,0,0.00055075,0.00055075,0.00055075
11,100.985,0.20221,0.47093,0.90517,0,0,0,0,0,0,0,0.0005425,0.0005425,0.0005425
12,109.687,0.18206,0.45706,0.90245,0,0,0,0,0,0,0,0.00053425,0.00053425,0.00053425
13,118.239,0.17944,0.43853,0.90232,0,0,0,0,0,0,0,0.000526,0.000526,0.000526
14,126.938,0.17147,0.42559,0.90172,0,0,0,0,0,0,0,0.00051775,0.00051775,0.00051775
15,135.623,0.17222,0.41235,0.89519,0,0,0,0,0,0,0,0.0005095,0.0005095,0.0005095
16,144.359,0.17859,0.4134,0.90474,0,0,0,0,0,0,0,0.00050125,0.00050125,0.00050125
17,153.02,0.17286,0.39258,0.90015,0,0,0,0,0,0,0,0.000493,0.000493,0.000493
18,161.843,0.15438,0.37522,0.89534,0,0,0,0,0,0,0,0.00048475,0.00048475,0.00048475
19,170.385,0.15197,0.36367,0.89096,0,0,0,0,0,0,0,0.0004765,0.0004765,0.0004765
20,179.018,0.14821,0.37072,0.89575,0,0,0,0,0,0,0,0.00046825,0.00046825,0.00046825
21,187.578,0.1507,0.36155,0.89355,0,0,0,0,0,0,0,0.00046,0.00046,0.00046
22,196.155,0.14935,0.35467,0.89165,0,0,0,0,0,0,0,0.00045175,0.00045175,0.00045175
23,204.826,0.14761,0.34821,0.89365,0,0,0,0,0,0,0,0.0004435,0.0004435,0.0004435
24,213.438,0.14952,0.3497,0.88853,0,0,0,0,0,0,0,0.00043525,0.00043525,0.00043525
25,221.877,0.14427,0.32811,0.8895,0,0,0,0,0,0,0,0.000427,0.000427,0.000427
26,230.4,0.13992,0.33501,0.89172,0,0,0,0,0,0,0,0.00041875,0.00041875,0.00041875
27,238.945,0.138,0.32107,0.88809,0,0,0,0,0,0,0,0.0004105,0.0004105,0.0004105
28,247.45,0.13506,0.32192,0.88909,0,0,0,0,0,0,0,0.00040225,0.00040225,0.00040225
29,255.712,0.12801,0.32022,0.88898,0,0,0,0,0,0,0,0.000394,0.000394,0.000394
30,264.298,0.12776,0.31935,0.88523,0,0,0,0,0,0,0,0.00038575,0.00038575,0.00038575
31,272.704,0.12641,0.29628,0.88527,0,0,0,0,0,0,0,0.0003775,0.0003775,0.0003775
32,281.197,0.12744,0.30817,0.88599,0,0,0,0,0,0,0,0.00036925,0.00036925,0.00036925
33,289.605,0.1259,0.28744,0.88725,0,0,0,0,0,0,0,0.000361,0.000361,0.000361
34,298.231,0.12444,0.28856,0.88812,0,0,0,0,0,0,0,0.00035275,0.00035275,0.00035275
35,306.798,0.12261,0.29187,0.88519,0,0,0,0,0,0,0,0.0003445,0.0003445,0.0003445
36,315.354,0.1145,0.27102,0.88215,0,0,0,0,0,0,0,0.00033625,0.00033625,0.00033625
37,323.591,0.11657,0.27207,0.88586,0,0,0,0,0,0,0,0.000328,0.000328,0.000328
38,332.343,0.11684,0.26827,0.88732,0,0,0,0,0,0,0,0.00031975,0.00031975,0.00031975
39,340.828,0.11871,0.26622,0.88947,0,0,0,0,0,0,0,0.0003115,0.0003115,0.0003115
40,349.191,0.11335,0.25548,0.88187,0,0,0,0,0,0,0,0.00030325,0.00030325,0.00030325
41,357.689,0.10888,0.25734,0.88433,0,0,0,0,0,0,0,0.000295,0.000295,0.000295
42,366.403,0.10648,0.26205,0.87956,0,0,0,0,0,0,0,0.00028675,0.00028675,0.00028675
43,375.244,0.10488,0.25505,0.88183,0,0,0,0,0,0,0,0.0002785,0.0002785,0.0002785
44,383.912,0.10492,0.251,0.88326,0,0,0,0,0,0,0,0.00027025,0.00027025,0.00027025
45,392.607,0.1078,0.25433,0.88472,0,0,0,0,0,0,0,0.000262,0.000262,0.000262
46,401.033,0.10555,0.24864,0.88314,0,0,0,0,0,0,0,0.00025375,0.00025375,0.00025375
47,409.689,0.09958,0.23471,0.88081,0,0,0,0,0,0,0,0.0002455,0.0002455,0.0002455
48,418.262,0.09439,0.23488,0.88183,0,0,0,0,0,0,0,0.00023725,0.00023725,0.00023725
49,427.063,0.10026,0.23074,0.87836,0,0,0,0,0,0,0,0.000229,0.000229,0.000229
50,435.703,0.09815,0.2288,0.88173,0,0,0,0,0,0,0,0.00022075,0.00022075,0.00022075
51,444.232,0.10276,0.23401,0.88226,0,0,0,0,0,0,0,0.0002125,0.0002125,0.0002125
52,452.787,0.09229,0.21756,0.87654,0,0,0,0,0,0,0,0.00020425,0.00020425,0.00020425
53,461.378,0.09126,0.21877,0.88034,0,0,0,0,0,0,0,0.000196,0.000196,0.000196
54,469.919,0.0962,0.21226,0.87773,0,0,0,0,0,0,0,0.00018775,0.00018775,0.00018775
55,478.481,0.09239,0.21048,0.88234,0,0,0,0,0,0,0,0.0001795,0.0001795,0.0001795
56,486.828,0.08951,0.22393,0.88094,0,0,0,0,0,0,0,0.00017125,0.00017125,0.00017125
57,495.071,0.08867,0.21012,0.87676,0,0,0,0,0,0,0,0.000163,0.000163,0.000163
58,503.39,0.08834,0.20943,0.87698,0,0,0,0,0,0,0,0.00015475,0.00015475,0.00015475
59,511.594,0.08432,0.19898,0.88193,0,0,0,0,0,0,0,0.0001465,0.0001465,0.0001465
60,519.883,0.08219,0.19861,0.87967,0,0,0,0,0,0,0,0.00013825,0.00013825,0.00013825
61,528.28,0.08003,0.19873,0.87685,0,0,0,0,0,0,0,0.00013,0.00013,0.00013
62,536.688,0.08151,0.19126,0.8805,0,0,0,0,0,0,0,0.00012175,0.00012175,0.00012175
63,545.063,0.0834,0.18436,0.87897,0,0,0,0,0,0,0,0.0001135,0.0001135,0.0001135
64,553.465,0.08019,0.1861,0.87715,0,0,0,0,0,0,0,0.00010525,0.00010525,0.00010525
65,561.796,0.0776,0.1856,0.87851,0,0,0,0,0,0,0,9.7e-05,9.7e-05,9.7e-05
66,592.164,0.06723,0.17134,0.88503,0,0,0,0,0,0,0,8.875e-05,8.875e-05,8.875e-05
67,600.27,0.05154,0.09203,0.86737,0,0,0,0,0,0,0,8.05e-05,8.05e-05,8.05e-05
68,608.572,0.05092,0.08412,0.87234,0,0,0,0,0,0,0,7.225e-05,7.225e-05,7.225e-05
69,616.821,0.04696,0.07372,0.87148,0,0,0,0,0,0,0,6.4e-05,6.4e-05,6.4e-05
70,624.996,0.04399,0.06691,0.87152,0,0,0,0,0,0,0,5.575e-05,5.575e-05,5.575e-05
71,633.295,0.04283,0.06316,0.87643,0,0,0,0,0,0,0,4.75e-05,4.75e-05,4.75e-05
72,641.445,0.04193,0.0654,0.87106,0,0,0,0,0,0,0,3.925e-05,3.925e-05,3.925e-05
73,649.597,0.0404,0.06688,0.86913,0,0,0,0,0,0,0,3.1e-05,3.1e-05,3.1e-05
74,657.756,0.03896,0.06042,0.86716,0,0,0,0,0,0,0,2.275e-05,2.275e-05,2.275e-05
75,678.3,0.03929,0.06364,0.86606,0.98913,0.99873,0.99353,0.99353,0.19701,0.38572,0.35311,1.45e-05,1.45e-05,1.45e-05
